state,population
AL,4903185
AR,3017804
CA,39512223
FL,21477737
GA,10617423
IA,3155070
IL,12671821
IN,6732219
KS,2913314
MD,6045680
ME,1344212
MN,5639632
MO,6137428
MS,2976149
NJ,8882190
NY,19453561
OH,11689100
TN,6829174
TX,28995881
VA,8535519
WA,7614893
WI,5822434
